FID,Id,X,y,longitud,latitud
192,0,621014.0000000,9773770.0000000,-79.9117966,-2.0464301
193,0,621015.0000000,9773770.0000000,-79.9117966,-2.0464301
194,0,621016.0000000,9773770.0000000,-79.9117966,-2.0464301
195,0,621017.0000000,9773770.0000000,-79.9117966,-2.0464301
196,0,621018.0000000,9773770.0000000,-79.9117966,-2.0464301
197,0,621019.0000000,9773770.0000000,-79.9117966,-2.0464301
198,0,621020.0000000,9773770.0000000,-79.9117966,-2.0464301
199,0,621021.0000000,9773770.0000000,-79.9117966,-2.0464301
200,0,621022.0000000,9773770.0000000,-79.9117966,-2.0464301
201,0,621023.0000000,9773770.0000000,-79.9117966,-2.0464301
202,0,621024.0000000,9773770.0000000,-79.9117966,-2.0464301
203,0,621025.0000000,9773770.0000000,-79.9117966,-2.0464301
204,0,621026.0000000,9773770.0000000,-79.9116974,-2.0464301
205,0,621027.0000000,9773770.0000000,-79.9116974,-2.0464301
206,0,621013.0000000,9773770.0000000,-79.9119034,-2.0464201
207,0,621014.0000000,9773770.0000000,-79.9117966,-2.0464201
208,0,621015.0000000,9773770.0000000,-79.9117966,-2.0464201
209,0,621016.0000000,9773770.0000000,-79.9117966,-2.0464201
210,0,621017.0000000,9773770.0000000,-79.9117966,-2.0464201
211,0,621018.0000000,9773770.0000000,-79.9117966,-2.0464201
212,0,621019.0000000,9773770.0000000,-79.9117966,-2.0464201
213,0,621020.0000000,9773770.0000000,-79.9117966,-2.0464201
214,0,621021.0000000,9773770.0000000,-79.9117966,-2.0464201
215,0,621022.0000000,9773770.0000000,-79.9117966,-2.0464201
216,0,621023.0000000,9773770.0000000,-79.9117966,-2.0464201
217,0,621024.0000000,9773770.0000000,-79.9117966,-2.0464201
218,0,621025.0000000,9773770.0000000,-79.9117966,-2.0464201
219,0,621026.0000000,9773770.0000000,-79.9116974,-2.0464201
220,0,621027.0000000,9773770.0000000,-79.9116974,-2.0464201
221,0,621013.0000000,9773770.0000000,-79.9119034,-2.0464101
222,0,621014.0000000,9773770.0000000,-79.9117966,-2.0464101
223,0,621015.0000000,9773770.0000000,-79.9117966,-2.0464101
224,0,621016.0000000,9773770.0000000,-79.9117966,-2.0464101
